,Word,Likelihood
185,CAGES,1.9466553612415127e-05
186,COLTS,1.9375395677192183e-05
187,SIRED,1.9353725378768678e-05
188,SILLS,1.9231736437896995e-05
189,MITES,1.9218876876650085e-05
190,PEATS,1.9201467257975362e-05
191,GOATS,1.9156923109955802e-05
192,SUETS,1.912133151906726e-05
193,BOLTS,1.9023115755788686e-05
194,RULES,1.900406125278701e-05
195,FLOES,1.8963287408557373e-05
196,SELLS,1.886024672958695e-05
197,METES,1.8847635569968878e-05
198,PAILS,1.8843132301053602e-05
199,TEATS,1.8704019919685844e-05
200,SOLOS,1.868659779954866e-05
201,FACES,1.8623724410883484e-05
202,GAMES,1.855974832723248e-05
203,BEANS,1.8557122719117127e-05
204,HOSES,1.848019730315035e-05
205,TRUES,1.836689190456352e-05
206,TAILS,1.8354968251803507e-05
207,PANTS,1.8335886464978726e-05
208,TIMES,1.8100386151422222e-05
209,LAMES,1.8027569163727605e-05
210,FADES,1.8016429049659023e-05
211,TOILS,1.7979974276766663e-05
212,TARNS,1.786866002425493e-05
213,NARES,1.7840096958402023e-05
214,SOURS,1.7836237747798523e-05
215,TOONS,1.783524856261365e-05
216,FOALS,1.7829288569536215e-05
217,BANNS,1.7720588261455952e-05
218,BIDES,1.771158624528865e-05
219,CEDES,1.7691117184083923e-05
220,MOANS,1.7669228961631874e-05
221,ALOES,1.765136186456913e-05
222,BABES,1.760010707246741e-05
223,FARTS,1.7500541201409305e-05
224,LITES,1.7477569240175076e-05
225,FOOTS,1.7467818061551097e-05
226,MACES,1.745242098881534e-05
227,POETS,1.7391778258928565e-05
228,SURAS,1.7350556510843662e-05
229,POOLS,1.7313472673813784e-05
230,RITES,1.7284090613900077e-05
231,FORTS,1.714300326288589e-05
232,DARTS,1.711530916238457e-05
233,PAGES,1.707747657816418e-05
234,CLUES,1.6968293192905827e-05
235,CAVES,1.694570494318151e-05
236,TOOLS,1.6864937112316016e-05
237,SANDS,1.6772667713023627e-05
238,SLITS,1.675477383268679e-05
239,GAITS,1.667956248606216e-05
240,BLUES,1.665977877121663e-05
241,COVES,1.6599502369073503e-05
242,MODES,1.6538392255167824e-05
243,BOORS,1.6456954081035855e-05
244,MARTS,1.639987823276721e-05
245,SEERS,1.6389850056561686e-05
246,DOPES,1.6387175901880807e-05
247,MOOTS,1.636921315201958e-05
248,CARED,1.6253487774277256e-05
249,COOED,1.6223096419661406e-05
250,CALLS,1.61510400170496e-05
251,FIATS,1.613040828131708e-05
252,PARAS,1.6110307841017075e-05
253,LOANS,1.606832566645046e-05
254,MORTS,1.606482695704401e-05
255,PAIRS,1.600375620089484e-05
256,BARED,1.5957969814744943e-05
257,BOOED,1.5928131030213017e-05
258,CORED,1.5921427271361916e-05
259,HAMES,1.5898852509708107e-05
260,ROANS,1.5890447522541416e-05
261,GOOEY,1.5871926778221255e-05
262,LACES,1.5871161369023346e-05
263,BALLS,1.5857384744012333e-05
264,FEATS,1.5818825357606645e-05
265,SATED,1.5765105462208064e-05
266,SLOTS,1.571571809112482e-05
267,MOPES,1.5702181410805404e-05
268,RACES,1.5695465855713124e-05
269,PEALS,1.5679050445550352e-05
270,GOALS,1.5642677707234603e-05
271,BORED,1.5631946775518973e-05
272,STIES,1.559864029653122e-05
273,HOMES,1.557403724338074e-05
274,FLEES,1.55545973165233e-05
275,BOLLS,1.5533416668597027e-05
276,FAILS,1.5523616766152968e-05
277,SAXES,1.5439561521109106e-05
278,TIDES,1.541563988015864e-05
279,MAINS,1.53842559608602e-05
280,LADES,1.5353623498294322e-05
281,BOUTS,1.5345967091654276e-05
282,RISES,1.5308765972311494e-05
283,TEALS,1.527285742882625e-05
284,MUTES,1.5249450597520275e-05
285,CEILS,1.5243316118519043e-05
286,FOILS,1.5206467606414357e-05
287,SEAMS,1.5147327093794801e-05
288,CARER,1.51221545185271e-05
289,NONES,1.5084220973248986e-05
290,LODES,1.5039947319296913e-05
291,PIPES,1.5025457983837387e-05
292,GAPES,1.5007643384221478e-05
293,SOOTY,1.4992469380471753e-05
294,DIMES,1.4971330034819977e-05
295,BEARS,1.4903388712244326e-05
296,LOOTS,1.4886096524152035e-05
297,PAVES,1.486600479106378e-05
298,BRATS,1.4847446373383116e-05
299,BARER,1.484720625455388e-05
300,CENTS,1.483297517808742e-05
301,MEATS,1.4823930681027611e-05
302,CORER,1.4813207275675472e-05
303,FONTS,1.47971186058594e-05
304,DARNS,1.4779662945593836e-05
305,ROOTS,1.4721305787722307e-05
306,COLAS,1.4694092023642392e-05
307,BENTS,1.4563284720304012e-05
308,MAILS,1.454728866765278e-05
309,BORER,1.4543876234299555e-05
310,SPIES,1.4447920930393672e-05
311,BOLAS,1.4426926714121623e-05
312,RAPES,1.4415944182693032e-05
313,FUSES,1.4413143239727218e-05
314,GAINS,1.4403380580805356e-05
315,MONEY,1.4360852022890732e-05
316,MIMES,1.4345518811499528e-05
317,SURER,1.428755349788581e-05
318,LOPES,1.427950054472572e-05
319,FOOLS,1.4263430855628971e-05
320,PARED,1.425874154743414e-05
321,VANES,1.4224334220713406e-05
322,TOVES,1.4185029297208265e-05
323,PALLS,1.4168866924048057e-05
324,MOONS,1.41353831693055e-05
325,TAELS,1.412194262784107e-05
326,ROPES,1.4121424892939088e-05
327,BEETS,1.4101522034050471e-05
328,MEMES,1.40684136932982e-05
329,CANED,1.402932628937616e-05
330,PORED,1.3967433924422044e-05
331,TARED,1.3889344098018747e-05
332,POLLS,1.3879395449255676e-05
333,MORNS,1.387253513516552e-05
334,LUTES,1.3867788966201325e-05
335,THEES,1.3844787283057812e-05
336,RAINS,1.3835505360773603e-05
337,SILOS,1.3804698484189077e-05
338,BELTS,1.378184017433648e-05
339,CONED,1.3742705644754497e-05
340,PINEY,1.3741936425060257e-05
341,POUTS,1.3711905780968867e-05
342,LOINS,1.3704555444443701e-05
343,DOLTS,1.3694881944560837e-05
344,GLEES,1.3646958022987426e-05
345,WAITS,1.36306102036637e-05
346,HOOEY,1.3596381720411756e-05
347,CARET,1.3575999069001886e-05
348,HADES,1.3540649505875806e-05
349,SINKS,1.352957139745571e-05
350,PIONS,1.352618469620317e-05
351,TOLLS,1.3519825618964079e-05
352,MUSES,1.3506656243517958e-05
353,BONED,1.3492838269395323e-05
354,DOGES,1.3478209765452262e-05
355,VALES,1.3461077262528785e-05
356,DONEE,1.3409718234726828e-05
357,MALTS,1.3396111061713007e-05
358,MARLS,1.3391399451812152e-05
359,DEANS,1.3359410105660711e-05
360,TOUTS,1.3356675061254648e-05
361,PEARS,1.3316453803070162e-05
362,PINTS,1.326887267842009e-05
363,PRATS,1.3266468287328433e-05
364,PARER,1.3266253736707865e-05
365,PEONS,1.3264906239961504e-05
366,SONGS,1.3264587404731952e-05
367,SUERS,1.3260878682127183e-05
368,GOONS,1.3234133906833e-05
369,FECES,1.3216836678691504e-05
370,FAIRS,1.318444163700663e-05
371,DICES,1.3180501083286486e-05
372,HARTS,1.3152922475273032e-05
373,COOKS,1.3139019790504434e-05
374,HOOTS,1.312832866890161e-05
375,MOLTS,1.312242707228016e-05
376,RAILS,1.3082796519902501e-05
377,TUANS,1.3068088271728442e-05
378,CANER,1.3052807058097076e-05
379,LIMES,1.3045757039987826e-05
380,BALED,1.3035141659202185e-05
381,CAULS,1.302906063231063e-05
382,SOMAS,1.3023964553944895e-05
383,WISES,1.3023875528682914e-05
384,TEARS,1.2971467953249692e-05
385,TINTS,1.2925119500222677e-05
386,BARKS,1.2924294831786637e-05
387,WADES,1.2917439695981939e-05
388,RIMES,1.2901339065375414e-05
389,BOOKS,1.290012852158617e-05
390,CRITS,1.2897781698090384e-05
391,CORKS,1.28946991745653e-05
392,DIALS,1.2881426815061334e-05
393,LOONS,1.285466053316037e-05
394,SEEKS,1.2847527624982224e-05
395,BRANS,1.2821284787753653e-05
396,ROILS,1.2815513580248579e-05
397,SILKS,1.2803594395641013e-05
398,MEANS,1.2800978171983575e-05
399,GAOLS,1.277513964235186e-05
400,ROARS,1.276175837302549e-05
401,RANTS,1.2730615473094038e-05
402,TERNS,1.2680984533342207e-05
403,TENTS,1.267545151582016e-05
404,CASTS,1.264256243560267e-05
405,DEALS,1.2632602820119584e-05
406,SHITS,1.2612621412939222e-05
407,CAKES,1.2604243346168067e-05
408,HOPES,1.259336025900165e-05
409,TOADS,1.2590946200290724e-05
410,BONER,1.2553661591711194e-05
411,WARTS,1.254755784251988e-05
412,DIRTS,1.2385594694929912e-05
413,COSTS,1.2384273525627993e-05
414,BAKES,1.2375075285328647e-05
415,COKES,1.234673729931087e-05
416,GAGES,1.2343564676963227e-05
417,PELTS,1.2314329415032134e-05
418,PANED,1.2307545335679994e-05
419,WORTS,1.229120988659743e-05
420,SALTY,1.22694220574281e-05
421,FLUES,1.2263448262145575e-05
422,TILTS,1.2231576502649753e-05
423,CAFES,1.2184101901295797e-05
424,RUSES,1.214692574920407e-05
425,FUMES,1.2146560230253986e-05
426,AIDES,1.2135716501401482e-05
427,TAROS,1.2128468721126402e-05
428,BALER,1.2127823214246117e-05
429,MEALS,1.2104551898378252e-05
430,CUNTS,1.2001225371361641e-05
431,VIRES,1.1925423661176392e-05
432,SENDS,1.1903183538274832e-05
433,HEATS,1.188899138511946e-05
434,RAGES,1.1856900836652848e-05
435,DOORS,1.1847483146301275e-05
436,SHOTS,1.183044334081896e-05
437,CARDS,1.180935033021809e-05
438,BURNS,1.1788164732542097e-05
439,BUNTS,1.178302127370052e-05
440,FARED,1.1746838891409472e-05
441,LOGES,1.1744677962821746e-05
442,TONED,1.1743766641881115e-05
443,DOVES,1.1732830083595134e-05
444,BLATS,1.1721668189512986e-05
445,CILLS,1.1687795625241268e-05
446,BEAKS,1.1682333732501198e-05
447,FALLS,1.16727971032313e-05
448,HAILS,1.166712077707723e-05
449,PALED,1.164714046400936e-05
450,LEANS,1.1641158002038754e-05
451,BARDS,1.159463486966867e-05
452,CORDS,1.1568084033149119e-05
453,PARKS,1.1548096770994542e-05
454,SEEDS,1.1525765523646605e-05
455,HONEY,1.1517596085472769e-05
456,DARED,1.1488260676818699e-05
457,BILLS,1.1475290250236881e-05
458,CELLS,1.1462028399196489e-05
459,ARSES,1.1456365992541287e-05
460,POLED,1.1409188131948954e-05
461,SITED,1.1408511802221536e-05
462,HOARS,1.1380821832660792e-05
463,RICES,1.1358116689134336e-05
464,CULTS,1.1357257180703212e-05
465,CURLS,1.135326266579268e-05
466,MOORS,1.135225073182566e-05
467,PORKS,1.1312167912232286e-05
468,PUREE,1.1302621939141903e-05
469,SOUPS,1.1277105156672614e-05
470,BELLS,1.1253627882847463e-05
471,MOVES,1.1242390240872508e-05
472,KALES,1.1238147072386416e-05
473,LAIRS,1.1235797747260366e-05
474,DOLLS,1.1182621722068694e-05
475,SIXES,1.1172930003985407e-05
476,TRANS,1.1159266389341142e-05
477,SURDS,1.1157585012872916e-05
478,BANKS,1.1155707117963202e-05
479,BOLOS,1.115001415663677e-05
480,BURLS,1.1146839708232812e-05
481,NINES,1.1143447546648263e-05
482,CONKS,1.1130161392782682e-05
483,WAILS,1.1130140322902127e-05
484,HORNS,1.1125959386928051e-05
485,GIRTS,1.1111192668441947e-05
486,RIALS,1.1100393525519092e-05
487,SODAS,1.1092180337809527e-05
488,PASTS,1.1090975227596888e-05
489,RIDES,1.0987743318836477e-05
490,MOOED,1.0987460756952498e-05
491,FEARS,1.0970550024290963e-05
492,SONNY,1.0967091002243883e-05
493,SEXES,1.0957108176270977e-05
494,SECTS,1.095337927563245e-05
495,MALLS,1.0938658920638138e-05
496,FRATS,1.0929370247073682e-05
497,BONKS,1.0927794822004814e-05
498,TONER,1.0926335089081965e-05
499,HOLEY,1.089957873454496e-05
500,SHINS,1.0891435940479954e-05
501,REALS,1.0885972848205944e-05
502,PEENS,1.0880511936497348e-05
503,RIOTS,1.0875344451303087e-05
504,POSTS,1.0864385411119102e-05
505,PALER,1.0836434631247689e-05
506,WARNS,1.083525129130352e-05
507,POKES,1.0831455903486353e-05
508,WANTS,1.0830523611438213e-05
509,LOBES,1.0815243016123621e-05
510,POLIS,1.0799310431749623e-05
511,TAKES,1.0770898859452712e-05
512,GLUES,1.075944045641074e-05
513,CALKS,1.075261020313165e-05
514,HALTS,1.074386088506513e-05
515,DEARS,1.0729059929416634e-05
516,FERNS,1.0724875217028782e-05
517,MOLLS,1.0715180942689615e-05
518,ROBES,1.0695517078675758e-05
519,DINTS,1.0690723841939503e-05
520,DARER,1.0688613761958928e-05
521,CARPS,1.0617581030838282e-05
522,POLER,1.0615045106523272e-05
523,WONTS,1.0609254849484097e-05
524,TEENS,1.0598633388919697e-05
525,COOPS,1.0597727896867774e-05
526,BALKS,1.0557108199438347e-05
527,TOKES,1.0550848237592925e-05
528,PUNTS,1.0528347712149075e-05
529,NATES,1.0516267680742246e-05
530,DENTS,1.0484216546329972e-05
531,BEADS,1.0480447546029882e-05
532,PLATS,1.0473527595259288e-05
533,SLIER,1.0463457274856172e-05
534,DUCES,1.0458228199814241e-05
535,PEAKS,1.0438381529503385e-05
536,LAVES,1.0437013726368614e-05
537,CORPS,1.0400662708702876e-05
538,SONLY,1.0370435792277247e-05
539,SEEPS,1.036261487447126e-05
540,PARDS,1.0360020971509506e-05
541,DIETS,1.0351749671341421e-05
542,TROTS,1.033822191924454e-05
543,RAVES,1.0321474829028738e-05
544,CLANS,1.0309512621731737e-05
545,NOTES,1.030141920124321e-05
546,VINES,1.0293523581225938e-05
547,CUBES,1.0293013634376102e-05
548,PEELS,1.028856698658428e-05
549,TURNS,1.0260069304249604e-05
550,PILLS,1.0253384343961659e-05
551,MINTS,1.0243844710282866e-05
552,GALLS,1.0241227647174632e-05
553,WOOLS,1.0226610802149073e-05
554,LOVES,1.0223784413679361e-05
555,DUALS,1.0220924099914935e-05
556,SORRY,1.0204120751171565e-05
557,EASES,1.0182700836631535e-05
558,TEAKS,1.0167957137547338e-05
559,SLUTS,1.0163263972153034e-05
560,SULKS,1.0159167024178754e-05
561,FELTS,1.0144965683886576e-05
562,DUDES,1.0117199019385515e-05
563,ROVES,1.0110605988435679e-05
564,GORED,1.0095632292522669e-05
565,WAGES,1.008721414461511e-05
566,TIRED,1.0051105997813567e-05
567,SALLY,1.0018655594991626e-05
568,MATEY,1.0011956485129572e-05
569,BANDS,1.000800062434559e-05
570,BARMS,9.99904291512711e-06
571,TILLS,9.987752625206175e-06
572,BOOMS,9.980346345918519e-06
573,CORMS,9.976145863449698e-06
574,BIERS,9.972207111260083e-06
575,POLOS,9.962744130698596e-06
576,PURLS,9.959907702263578e-06
577,FAUNS,9.958226242184714e-06
578,MOLAS,9.951907779648711e-06
579,SEEMS,9.939651002043862e-06
580,GOUTS,9.91093708002672e-06
581,HAIRS,9.90906148190121e-06
582,REINS,9.818745739903847e-06
583,BONDS,9.80353609546111e-06
584,SINGS,9.79919574465928e-06
585,HIDES,9.798771094037007e-06
586,TELLS,9.794824268404272e-06
587,WEANS,9.79403699064515e-06
588,BEERS,9.779579039274376e-06
589,LOLLS,9.744342400902302e-06
590,MEETS,9.727438810525556e-06
591,DOERS,9.717873572482659e-06
592,TANKS,9.709596936005009e-06
593,HEALS,9.708013099706047e-06
594,COEDS,9.66848286560042e-06
595,ROLLS,9.636471451814822e-06
596,LOUTS,9.626752504255345e-06
597,GEARS,9.625105209991127e-06
598,DUPES,9.605655248742428e-06
599,CASAS,9.587983592101355e-06
600,CLOTS,9.55098889515873e-06
601,LIARS,9.533265795122254e-06
602,JANES,9.526388973505308e-06
603,ROUTS,9.520183288341078e-06
604,VOTES,9.51571773674161e-06
605,GALAS,9.511715540800549e-06
606,POURS,9.509375373826284e-06
607,MELTS,9.506917527667294e-06
608,MANED,9.501680077804763e-06
609,LIONS,9.496362830754038e-06
610,BALDS,9.470985956697776e-06
611,BURRS,9.467178930279923e-06
612,BERET,9.459405802917444e-06
613,COLDS,9.449298115498649e-06
614,BATED,9.406803259218072e-06
615,GENTS,9.405454715196342e-06
616,BLOTS,9.377334551610389e-06
617,GOADS,9.342749973088064e-06
618,CURED,9.332647818778555e-06
619,FORKS,9.319350767072196e-06
620,LINTS,9.315711129149856e-06
621,DARKS,9.304295584920472e-06
622,POOPS,9.297097654979456e-06
623,CULLS,9.273822977531704e-06
624,TOURS,9.263018498856692e-06
625,WEALS,9.261200781309534e-06
626,REARS,9.24562077518861e-06
627,FOULS,9.224078218619561e-06
628,RARER,9.21076684310287e-06
629,HAVES,9.204598821409958e-06
630,DOLED,9.192376966414831e-06
631,COXES,9.19145998948698e-06
632,TALKS,9.188594173585229e-06
633,FOAMS,9.18330479745975e-06
634,FASTS,9.137124669367385e-06
635,NOSES,9.124114149672558e-06
636,SIREN,9.115559749164828e-06
637,DORKS,9.114207825658656e-06
638,FAKES,9.109430418366922e-06
639,BULLS,9.105208014303856e-06
640,GILTS,9.076090011274685e-06
641,LOADS,9.074857500741453e-06
642,TARPS,9.073205608170896e-06
643,GIRLS,9.072897816512998e-06
644,PLANS,9.044254254519206e-06
645,BEAMS,9.0381841222643e-06
646,RENTS,9.034630335744157e-06
647,PUBES,9.029780142884488e-06
648,BOXES,9.024342535132672e-06
649,CHATS,8.987215245097276e-06
650,ROADS,8.974397823611473e-06
651,BIKES,8.955296416157182e-06
652,SEINE,8.94701511540042e-06
653,BOOTY,8.945782834756627e-06
654,MARKS,8.915370046000968e-06
655,CATER,8.914112137237028e-06
656,PIERS,8.910351724412946e-06
657,PINED,8.906427968723264e-06
658,SILTY,8.878839832956033e-06
659,WIPES,8.875140985271825e-06
660,FIVES,8.862703073582718e-06
661,SAUTE,8.855886430761654e-06
662,SAGAS,8.842524897128959e-06
663,MAULS,8.824227428246744e-06
664,LILTS,8.815843702707668e-06
665,MELEE,8.809453246847699e-06
666,BESTS,8.809011245452184e-06
667,TUBES,8.795848014830487e-06
668,WAVES,8.780956197830419e-06
669,TIROS,8.77683811754631e-06
670,HALLS,8.772951281988305e-06
671,PONDS,8.759641048259232e-06
672,PEERS,8.738234974907197e-06
673,GOERS,8.717963751519812e-06
674,CRASS,8.69453370153991e-06
675,MAIDS,8.688517615200839e-06
676,MOSEY,8.686564150431466e-06
677,CURER,8.683043562251045e-06
678,TIERS,8.67951359683748e-06
679,SIZES,8.671527764287182e-06
680,DIVES,8.667612125422092e-06
681,CRIED,8.657341617060197e-06
682,FLATS,8.628450195058171e-06
683,SLAPS,8.613760475001299e-06
684,VASES,8.603987528626646e-06
685,SINUS,8.57429627657687e-06
686,MIENS,8.565434883467928e-06
687,MASTS,8.562462740476354e-06
688,MAKES,8.536510266268372e-06
689,BRASS,8.53645127060282e-06
690,OASES,8.525051863226401e-06
691,FOODS,8.518980620622234e-06
692,FIRED,8.500669434321048e-06
693,CASED,8.486031511622652e-06
694,FEELS,8.476073320553889e-06
695,SHIED,8.465934283461317e-06
696,PURRS,8.45909969233345e-06
697,FILLS,8.44708865642437e-06
698,PILED,8.428522077718601e-06
699,WOOED,8.406513599279092e-06
700,BIRDS,8.390526093857005e-06
701,SACKS,8.390462282218755e-06
702,MOSTS,8.387530705993504e-06
703,SUITE,8.38292751615579e-06
704,PLOTS,8.378822076207431e-06
705,WALLS,8.369175281562064e-06
706,FORDS,8.360569823957772e-06
707,BASED,8.331740029593149e-06
708,GOOKS,8.331333003524402e-06
709,CALMS,8.31889184439815e-06
710,MUONS,8.28572405313846e-06
711,FELLS,8.283920524873825e-06
712,PENIS,8.267490700237216e-06
713,SLAMS,8.262178414797164e-06
714,DILLS,8.261146453295533e-06
715,HEARS,8.245161810709246e-06
716,PACTS,8.228788072088013e-06
717,GIBES,8.225605597062893e-06
718,SOCKS,8.21904423559278e-06
719,SOAPY,8.217348989296598e-06
720,HINTS,8.215700958918139e-06
721,DUETS,8.213721135952925e-06
722,TILED,8.210166583477187e-06
723,FURLS,8.20531256300471e-06
724,PERKS,8.195423514899352e-06
725,LIRAS,8.184986001917146e-06
726,GRITS,8.178366122198221e-06
727,BALMS,8.167639265409091e-06
728,CARTE,8.167618060955227e-06
729,PULLS,8.135671975743723e-06
730,WINEY,8.116998717393106e-06
731,LARKS,8.107601619014301e-06
732,GONER,8.10757311131348e-06
733,DELLS,8.101570073068428e-06
734,LOOKS,8.09244173460614e-06
735,BANGS,8.079853715068e-06
736,AUNTS,8.073551613461467e-06
737,POXES,8.063417172595397e-06
738,CRIER,8.054742432578048e-06
739,BUTTS,8.046941357649135e-06
740,TOTED,8.020133316406615e-06
741,TAXES,8.018335817592574e-06
742,TACTS,8.01560703395102e-06
743,PARTY,8.008196638909844e-06
744,ROOKS,8.002857508761791e-06
745,PIKES,8.001723186658965e-06
746,MOODS,7.983195675929012e-06
747,MULEY,7.966195422684202e-06
748,MIRED,7.966036136565008e-06
749,RUINS,7.944257916831295e-06
750,SHOED,7.940915103091623e-06
751,TALCS,7.940760396925506e-06
752,MILLS,7.915825218913405e-06
753,COMAS,7.915116579745516e-06
754,BONGS,7.914781434867685e-06
755,AIRED,7.912572806789403e-06
756,FIRER,7.908975506178051e-06
757,BRIER,7.908292570167538e-06
758,SEMIS,7.904736653589627e-06
759,BASIS,7.886367195948854e-06
760,CARNY,7.88278863785309e-06
761,SHIER,7.876658115238951e-06
